repo_id,repo_id,repo_name,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,months_not_zero
101225598,101225598,Azure/terraform-azurerm-loadbalancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,1280.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1377.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1561.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,2144.0,2144.0,2144.0,2144.0,2144.0,5.0
101225675,101225675,Azure/terraform-azurerm-database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2488.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,2587.0,3.0
101261687,101261687,Azure/autorest.typescript,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,4246.0,6865.0,7889.0,8260.0,9244.0,10302.0,12457.0,15450.0,15789.0,19791.0,23793.0,28366.0,34668.0,36342.0,43872.0,43872.0,45856.0,45856.0,45856.0,45856.0,46041.0,46041.0,47440.0,47440.0,47440.0,47440.0,47820.0,48651.0,48766.0,48942.0,49586.0,49910.0,52155.0,53669.0,57509.0,57665.0,60580.0,64896.0,64896.0,66487.0,68936.0,72804.0,75700.0,77724.0,101422.0,103212.0,104847.0,108738.0,112945.0,112945.0,115237.0,115237.0,42.0
101329988,101329988,Azure/ADLAwithR-GettingStarted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,1.0
101519762,101519762,Azure/reverse-proxy-dotnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,4467.0,4467.0,4467.0,4751.0,4751.0,6094.0,6094.0,6094.0,6094.0,6094.0,6555.0,6691.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,6709.0,7.0
101935764,101935764,Azure/ms-rest-js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.0,2768.0,2768.0,2768.0,3428.0,3428.0,4863.0,7456.0,7456.0,10468.0,12709.0,16697.0,21279.0,22176.0,29182.0,29182.0,31694.0,31694.0,31694.0,31694.0,32848.0,32848.0,34430.0,34430.0,34430.0,34585.0,34585.0,34585.0,34585.0,34585.0,34585.0,37883.0,37883.0,37883.0,38766.0,38766.0,39328.0,44896.0,44896.0,45028.0,46116.0,47276.0,47440.0,47748.0,47888.0,48280.0,48280.0,48280.0,48280.0,48280.0,48280.0,48280.0,26.0
101935847,101935847,Azure/ms-rest-azure-js,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.0,2404.0,2763.0,2763.0,2763.0,2763.0,3078.0,4149.0,4149.0,5629.0,7066.0,9229.0,12289.0,12965.0,18428.0,18428.0,19988.0,19988.0,19988.0,19988.0,20621.0,20621.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21456.0,21704.0,24148.0,24148.0,24148.0,24148.0,24148.0,24362.0,24362.0,24362.0,24362.0,24362.0,24362.0,24362.0,17.0
102134794,102134794,Azure/Sia-Gateway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,1.0
102241260,102241260,Azure/azure-iot-pcs-tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,3399.0,1.0
102531579,102531579,Azure/SFNuGet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,1.0
102543665,102543665,Azure/azure-data-lake-store-net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,89.0,89.0,89.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,3.0
102634335,102634335,Azure/ms-rest-azure-env,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,1108.0,1108.0,1706.0,6548.0,6548.0,7868.0,7868.0,7868.0,7868.0,7868.0,7868.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8739.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,8905.0,7.0
102667875,102667875,Azure/ms-rest-nodeauth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,906.0,906.0,2876.0,3723.0,4310.0,9102.0,9102.0,10823.0,10823.0,10823.0,10823.0,12622.0,12622.0,13824.0,13951.0,13951.0,13951.0,13951.0,13951.0,13951.0,14086.0,14086.0,14086.0,14086.0,14086.0,14086.0,14086.0,15010.0,15095.0,15095.0,15095.0,15095.0,16353.0,16353.0,16413.0,16750.0,17086.0,17086.0,17086.0,17086.0,17086.0,17086.0,17086.0,17.0
102729867,102729867,Azure/fta-internalbusinessapps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,928.0,928.0,928.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,1048.0,2932.0,2932.0,2932.0,2932.0,5380.0,5380.0,5380.0,5380.0,5380.0,5.0
102730304,102730304,Azure/fta-customerfacingapps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,1.0
102730462,102730462,Azure/fta-backuparchivedr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,1.0
102785099,102785099,Azure/Sia-Root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,2.0
102803512,102803512,Azure/Sia-EventUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,1.0
103171350,103171350,Azure/homebrew-draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1.0
103188854,103188854,Azure/azure-functions-microsoftgraph-extension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336.0,1281.0,1443.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,1749.0,5.0
103281905,103281905,Azure/MachineLearningSamples-BigData,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,1277.0,2.0
