,t,label,d,f
791,t790,n791,2,0.33808282766203146
792,t791,n792,2,0.9998978887712333
793,t792,n793,2,0.8585253643976359
794,t793,n794,2,0.7907111080798928
795,t794,n795,3,0.31814041528288917
796,t795,n796,2,0.40309129481902084
797,t796,n797,3,0.4979529723297321
798,t797,n798,2,0.8619953485463436
799,t798,n799,2,0.6543681185009002
800,t799,n800,2,0.3788952240901523
801,t800,n801,3,0.5472363095165307
802,t801,n802,2,0.26013425369029497
803,t802,n803,2,0.41753986686966305
804,t803,n804,2,0.382029426230752
805,t804,n805,2,0.1375830555851083
806,t805,n806,2,0.8106108586620557
807,t806,n807,2,0.35364261278393894
808,t807,n808,2,0.11481732019989122
809,t808,n809,2,0.6754059932980312
810,t809,n810,2,0.32783297926872856
811,t810,n811,2,0.6028832469971162
812,t811,n812,2,0.636997511937274
813,t812,n813,2,0.2535163049823873
814,t813,n814,2,0.6537761761766668
815,t814,n815,2,0.8423537262630365
816,t815,n816,2,0.7322854333373443
817,t816,n817,2,0.22323290657304207
818,t817,n818,2,0.5298567995817215
819,t818,n819,2,0.4029011495698369
820,t819,n820,2,0.8798651389347968
821,t820,n821,2,0.11507015984652358
822,t821,n822,2,0.18904607615217106
823,t822,n823,2,0.7798813308264076
824,t823,n824,2,0.3918812620374523
825,t824,n825,2,0.7234176841575612
826,t825,n826,2,0.273656158490731
827,t826,n827,2,0.42695680213713605
828,t827,n828,2,0.6201012294924114
829,t828,n829,2,0.46644464439165634
830,t829,n830,2,0.24449370241646617
831,t830,n831,2,0.19496901388080812
832,t831,n832,2,0.6599970287972827
833,t832,n833,2,0.8329459829506272
834,t833,n834,2,0.465626122367787
835,t834,n835,2,0.2945396259366484
836,t835,n836,2,0.5324849155156955
837,t836,n837,2,0.843413629636156
838,t837,n838,2,0.6700908765269612
839,t838,n839,2,0.12507903145520483
840,t839,n840,2,0.9324315064491573
841,t840,n841,2,0.4994502258034903
842,t841,n842,2,0.8350385150922713
843,t842,n843,2,0.7488143342836956
844,t843,n844,2,0.027369386184709854
845,t844,n845,2,0.9054782601702425
846,t845,n846,2,0.728925308374023
847,t846,n847,2,0.8336919308066284
848,t847,n848,2,0.6020842557392252
849,t848,n849,2,0.7143560552376127
850,t849,n850,3,0.621912628733264
851,t850,n851,2,0.248748032683343
852,t851,n852,2,0.19987082394142663
853,t852,n853,2,0.4711474607722329
854,t853,n854,2,0.7263953437443866
855,t854,n855,2,0.5057855280217286
856,t855,n856,2,0.623812139902292
857,t856,n857,2,0.24583512253731288
858,t857,n858,2,0.1992105444685699
859,t858,n859,2,0.2052749193936121
860,t859,n860,2,0.167652278098823
861,t860,n861,2,0.19704010657358706
862,t861,n862,2,0.3563019394071286
863,t862,n863,2,0.28527240458335723
864,t863,n864,2,0.9472477269458839
865,t864,n865,2,0.72973913637378
866,t865,n866,2,0.21466693418632732
867,t866,n867,2,0.6532324863196952
868,t867,n868,2,0.18834570082639102
869,t868,n869,2,0.09923225260873181
870,t869,n870,2,0.63857324275189
871,t870,n871,2,0.10494174024848546
872,t871,n872,2,0.5002051392848208
873,t872,n873,2,0.579240838397397
874,t873,n874,2,0.8039521984471021
875,t874,n875,2,0.353645923736134
876,t875,n876,2,0.04820294957535465
877,t876,n877,2,0.994897667803817
878,t877,n878,2,0.2838059325071819
879,t878,n879,2,0.3003662466297875
880,t879,n880,3,0.8161064470327136
881,t880,n881,2,0.8169806869222559
882,t881,n882,2,0.6163858425839173
883,t882,n883,2,0.23264732232379048
884,t883,n884,2,0.2764844268306743
885,t884,n885,2,0.5789675339084726
886,t885,n886,2,0.07354598927377476
