,t,n_start,n_end,weight,active
1533,t767,n22,n768,0,1
1534,t767,n7,n768,0,1
1535,t768,n2,n769,0,1
1536,t768,n270,n769,0,1
1537,t769,n56,n770,0,1
1538,t769,n327,n770,0,1
1539,t770,n60,n771,0,1
1540,t770,n97,n771,0,1
1541,t771,n134,n772,0,1
1542,t771,n135,n772,0,1
1543,t772,n19,n773,0,1
1544,t772,n6,n773,0,1
1545,t773,n3,n774,0,1
1546,t773,n130,n774,0,1
1547,t774,n461,n775,0,1
1548,t774,n130,n775,0,1
1549,t775,n5,n776,0,1
1550,t775,n133,n776,0,1
1551,t776,n44,n777,0,1
1552,t776,n403,n777,0,1
1553,t777,n605,n778,0,1
1554,t777,n192,n778,0,1
1555,t778,n417,n779,0,1
1556,t778,n272,n779,0,1
1557,t779,n53,n780,0,1
1558,t779,n378,n780,0,1
1559,t780,n56,n781,0,1
1560,t780,n6,n781,0,1
1561,t781,n33,n782,0,1
1562,t781,n258,n782,0,1
1563,t782,n341,n783,0,1
1564,t782,n502,n783,0,1
1565,t783,n74,n784,0,1
1566,t783,n2,n784,0,1
1567,t784,n241,n785,0,1
1568,t784,n5,n785,0,1
1569,t785,n2,n786,0,1
1570,t785,n91,n786,0,1
1571,t786,n597,n787,0,1
1572,t786,n742,n787,0,1
1573,t787,n2,n788,0,1
1574,t787,n192,n788,0,1
1575,t788,n19,n789,0,1
1576,t788,n272,n789,0,1
1577,t789,n60,n790,0,1
1578,t789,n56,n790,0,1
1579,t790,n229,n791,0,1
1580,t790,n144,n791,0,1
1581,t791,n204,n792,0,1
1582,t791,n562,n792,0,1
1583,t792,n7,n793,0,1
1584,t792,n6,n793,0,1
1585,t793,n50,n794,0,1
1586,t793,n232,n794,0,1
1587,t794,n24,n795,0,1
1588,t794,n36,n795,0,1
1589,t795,n2,n796,0,1
1590,t795,n700,n796,0,1
1591,t796,n6,n797,0,1
1592,t796,n64,n797,0,1
1593,t797,n417,n798,0,1
1594,t797,n150,n798,0,1
1595,t798,n636,n799,0,1
1596,t798,n99,n799,0,1
1597,t799,n476,n800,0,1
1598,t799,n787,n800,0,1
1599,t800,n6,n801,0,1
1600,t800,n378,n801,0,1
1601,t801,n36,n802,0,1
1602,t801,n313,n802,0,1
1603,t802,n3,n803,0,1
1604,t802,n206,n803,0,1
1605,t803,n63,n804,0,1
1606,t803,n39,n804,0,1
1607,t804,n213,n805,0,1
1608,t804,n74,n805,0,1
1609,t805,n645,n806,0,1
1610,t805,n345,n806,0,1
1611,t806,n64,n807,0,1
1612,t806,n36,n807,0,1
1613,t807,n150,n808,0,1
1614,t807,n24,n808,0,1
1615,t808,n645,n809,0,1
1616,t808,n759,n809,0,1
1617,t809,n282,n810,0,1
1618,t809,n7,n810,0,1
1619,t810,n756,n811,0,1
1620,t810,n36,n811,0,1
1621,t811,n43,n812,0,1
1622,t811,n662,n812,0,1
1623,t812,n2,n813,0,1
1624,t812,n174,n813,0,1
1625,t813,n446,n814,0,1
1626,t813,n203,n814,0,1
1627,t814,n184,n815,0,1
1628,t814,n7,n815,0,1
1629,t815,n3,n816,0,1
1630,t815,n518,n816,0,1
1631,t816,n402,n817,0,1
1632,t816,n19,n817,0,1
1633,t817,n133,n818,0,1
1634,t817,n797,n818,0,1
1635,t818,n456,n819,0,1
1636,t818,n604,n819,0,1
1637,t819,n2,n820,0,1
1638,t819,n43,n820,0,1
1639,t820,n14,n821,0,1
1640,t820,n86,n821,0,1
1641,t821,n702,n822,0,1
1642,t821,n3,n822,0,1
1643,t822,n469,n823,0,1
1644,t822,n27,n823,0,1
1645,t823,n352,n824,0,1
1646,t823,n464,n824,0,1
1647,t824,n95,n825,0,1
1648,t824,n411,n825,0,1
1649,t825,n36,n826,0,1
1650,t825,n604,n826,0,1
1651,t826,n153,n827,0,1
1652,t826,n3,n827,0,1
1653,t827,n220,n828,0,1
1654,t827,n6,n828,0,1
1655,t828,n369,n829,0,1
1656,t828,n199,n829,0,1
1657,t829,n85,n830,0,1
1658,t829,n142,n830,0,1
1659,t830,n172,n831,0,1
1660,t830,n263,n831,0,1
1661,t831,n170,n832,0,1
1662,t831,n192,n832,0,1
1663,t832,n200,n833,0,1
1664,t832,n6,n833,0,1
1665,t833,n5,n834,0,1
1666,t833,n66,n834,0,1
1667,t834,n235,n835,0,1
1668,t834,n2,n835,0,1
1669,t835,n737,n836,0,1
1670,t835,n170,n836,0,1
