,t,label,d,f
8633,t8632,n8633,2,0.4747759439855561
8634,t8633,n8634,2,0.5071168560433335
8635,t8634,n8635,2,0.5557303314316089
8636,t8635,n8636,2,0.44320385987122757
8637,t8636,n8637,2,0.3483630193526559
8638,t8637,n8638,2,0.7419081317149989
8639,t8638,n8639,2,0.6026964888773788
8640,t8639,n8640,2,0.9949630655420637
8641,t8640,n8641,2,0.3668757707271899
8642,t8641,n8642,2,0.022967076778235174
8643,t8642,n8643,2,0.9043936844872845
8644,t8643,n8644,2,0.05531666423417503
8645,t8644,n8645,2,0.08710655896493036
8646,t8645,n8646,2,0.5430379348243558
8647,t8646,n8647,2,0.5756475132874402
8648,t8647,n8648,2,0.42853823819762116
8649,t8648,n8649,2,0.3534385273768055
8650,t8649,n8650,2,0.43691365082509404
8651,t8650,n8651,2,0.019062247720252667
8652,t8651,n8652,2,0.6711712116313546
8653,t8652,n8653,2,0.24433908163266949
8654,t8653,n8654,2,0.5348771875305054
8655,t8654,n8655,2,0.2320983269156427
8656,t8655,n8656,2,0.5963683736604785
8657,t8656,n8657,2,0.06813406256861065
8658,t8657,n8658,2,0.2633354105300053
8659,t8658,n8659,2,0.0027197431260226335
8660,t8659,n8660,2,0.372504545903125
8661,t8660,n8661,2,0.6349768559614385
8662,t8661,n8662,2,0.5185990200194465
8663,t8662,n8663,2,0.005436992375870142
8664,t8663,n8664,2,0.6239475896311153
8665,t8664,n8665,2,0.29013426343230475
8666,t8665,n8666,2,0.7953662770565336
8667,t8666,n8667,2,0.9922104402999641
8668,t8667,n8668,2,0.5436267165077888
8669,t8668,n8669,2,0.40906276924244755
8670,t8669,n8670,2,0.06360168369708419
8671,t8670,n8671,2,0.17398495777865064
8672,t8671,n8672,2,0.8008489091074721
8673,t8672,n8673,3,0.32203431708026775
8674,t8673,n8674,2,0.9722303058128307
8675,t8674,n8675,2,0.9229088418958515
8676,t8675,n8676,2,0.6791289717494764
8677,t8676,n8677,2,0.20775085923939685
8678,t8677,n8678,2,0.3198514859273124
8679,t8678,n8679,2,0.8928331367521569
8680,t8679,n8680,2,0.7384976098114895
8681,t8680,n8681,2,0.5692405615095649
8682,t8681,n8682,2,0.8356209263382283
8683,t8682,n8683,2,0.6085773626606185
8684,t8683,n8684,2,0.5007998330910546
8685,t8684,n8685,2,0.18001209987980604
8686,t8685,n8686,2,0.8205874307809123
8687,t8686,n8687,2,0.597370233606327
8688,t8687,n8688,2,0.7545340338200299
8689,t8688,n8689,2,0.046591482056077105
8690,t8689,n8690,2,0.5555511001808437
8691,t8690,n8691,2,0.8545421028975452
8692,t8691,n8692,2,0.31795627932749637
8693,t8692,n8693,2,0.615652321214737
8694,t8693,n8694,2,0.5485557322542649
8695,t8694,n8695,2,0.2816570281317534
8696,t8695,n8696,2,0.9626943980984198
8697,t8696,n8697,2,0.4736354483075016
8698,t8697,n8698,2,0.12433831082800262
8699,t8698,n8699,2,0.17648924377622432
8700,t8699,n8700,3,0.5146434029890384
8701,t8700,n8701,2,0.7332211556434615
8702,t8701,n8702,2,0.3359791858408905
8703,t8702,n8703,2,0.26827947793129026
8704,t8703,n8704,2,0.7973313078416588
8705,t8704,n8705,2,0.2845969220280149
8706,t8705,n8706,2,0.9530641469790112
8707,t8706,n8707,2,0.5082722437867327
8708,t8707,n8708,2,0.24202811958288772
8709,t8708,n8709,2,0.1436768121000832
8710,t8709,n8710,2,0.7393696686356857
8711,t8710,n8711,2,0.8035513988441878
8712,t8711,n8712,2,0.702144066504729
8713,t8712,n8713,2,0.640390871673616
8714,t8713,n8714,2,0.10683219442700864
8715,t8714,n8715,2,0.8399738136839913
8716,t8715,n8716,2,0.846866351509564
8717,t8716,n8717,2,0.49625798735698157
8718,t8717,n8718,2,0.02164069620502962
8719,t8718,n8719,2,0.061925628607134464
8720,t8719,n8720,2,0.4887628774961308
8721,t8720,n8721,2,0.8781936129972823
8722,t8721,n8722,2,0.08597471676959623
8723,t8722,n8723,2,0.7779399530692623
8724,t8723,n8724,2,0.10167003425660892
8725,t8724,n8725,2,0.6829292440436793
8726,t8725,n8726,2,0.4002737730920486
8727,t8726,n8727,2,0.9400624865231175
8728,t8727,n8728,2,0.03840456653074231
8729,t8728,n8729,2,0.8134280437915586
8730,t8729,n8730,2,0.954048055376994
8731,t8730,n8731,2,0.9362740887218557
8732,t8731,n8732,2,0.4154533881476882
8733,t8732,n8733,2,0.5461118790510183
8734,t8733,n8734,2,0.6214992359670568
8735,t8734,n8735,2,0.3986470988174652
8736,t8735,n8736,3,0.6164632511277437
8737,t8736,n8737,2,0.5688343939668786
8738,t8737,n8738,2,0.3440313801403513
8739,t8738,n8739,2,0.8309237651526895
8740,t8739,n8740,2,0.2960125913477073
8741,t8740,n8741,3,0.29398606160325036
8742,t8741,n8742,2,0.36665109313440714
8743,t8742,n8743,3,0.8877281286142801
8744,t8743,n8744,2,0.9551852921430319
8745,t8744,n8745,2,0.07066166614619196
8746,t8745,n8746,2,0.7531566443106451
8747,t8746,n8747,2,0.744873448434459
8748,t8747,n8748,2,0.29874194414002886
8749,t8748,n8749,2,0.1791358792537724
8750,t8749,n8750,2,0.9524092881044235
8751,t8750,n8751,2,0.5382726031620393
8752,t8751,n8752,3,0.4982733588763806
8753,t8752,n8753,2,0.5214940784621364
8754,t8753,n8754,2,0.6859832444532288
8755,t8754,n8755,2,0.781969134706589
8756,t8755,n8756,2,0.22126805251190662
8757,t8756,n8757,2,0.9491198709221961
8758,t8757,n8758,2,0.9760623707633269
8759,t8758,n8759,2,0.4661284884178737
8760,t8759,n8760,2,0.3430178990657732
8761,t8760,n8761,2,0.8194968334429784
8762,t8761,n8762,2,0.06727321627554705
8763,t8762,n8763,2,0.10187578986058377
8764,t8763,n8764,2,0.8927561885665839
8765,t8764,n8765,2,0.6711672858249584
8766,t8765,n8766,2,0.38276890919961704
8767,t8766,n8767,2,0.02899437794944626
8768,t8767,n8768,2,0.24113657848253522
8769,t8768,n8769,2,0.8743238073662454
8770,t8769,n8770,2,0.43078452873058537
8771,t8770,n8771,2,0.8369267675011746
8772,t8771,n8772,2,0.3852146880905646
8773,t8772,n8773,2,0.43570793383268913
8774,t8773,n8774,2,0.5142314071615186
8775,t8774,n8775,2,0.825893633772063
8776,t8775,n8776,5,0.9722306948311082
8777,t8776,n8777,2,0.16955237928904054
8778,t8777,n8778,2,0.8650802251854058
8779,t8778,n8779,2,0.673934686642047
8780,t8779,n8780,2,0.5177469973540108
8781,t8780,n8781,2,0.2905353917882362
8782,t8781,n8782,2,0.8035401877286912
8783,t8782,n8783,2,0.01935712490725483
8784,t8783,n8784,2,0.920684766816577
8785,t8784,n8785,2,0.0968779952286214
8786,t8785,n8786,2,0.4606613381892929
8787,t8786,n8787,2,0.5137716704328592
8788,t8787,n8788,2,0.6926749952159063
8789,t8788,n8789,3,0.9024911490485442
8790,t8789,n8790,2,0.8368154822695862
8791,t8790,n8791,2,0.3261540346327252
8792,t8791,n8792,2,0.8154092422123115
8793,t8792,n8793,3,0.9252029476437952
8794,t8793,n8794,2,0.7938608731637847
8795,t8794,n8795,2,0.20876041491337394
8796,t8795,n8796,2,0.2436099324747959
8797,t8796,n8797,2,0.4445605198429444
8798,t8797,n8798,2,0.8029614187188523
8799,t8798,n8799,2,0.07612456566185544
8800,t8799,n8800,2,0.9015804859282408
8801,t8800,n8801,2,0.8693968427581127
8802,t8801,n8802,2,0.3701524261310155
8803,t8802,n8803,2,0.8776851478319676
8804,t8803,n8804,2,0.884622915495727
8805,t8804,n8805,2,0.9871317883731185
8806,t8805,n8806,2,0.642841911345217
8807,t8806,n8807,2,0.1427741354302523
8808,t8807,n8808,2,0.48809789247681157
8809,t8808,n8809,2,0.7670070781615338
8810,t8809,n8810,2,0.4317113996721518
8811,t8810,n8811,3,0.8486492304344905
8812,t8811,n8812,2,0.8787467566420695
8813,t8812,n8813,2,0.37186299882555607
8814,t8813,n8814,3,0.9735035096323337
8815,t8814,n8815,2,0.8190003575378636
8816,t8815,n8816,2,0.08238970414142877
8817,t8816,n8817,2,0.6357963510591854
8818,t8817,n8818,2,0.8077017268418809
8819,t8818,n8819,2,0.6158024120958038
8820,t8819,n8820,2,0.2519290400739286
8821,t8820,n8821,2,0.7970999420231564
8822,t8821,n8822,2,0.10108603085168189
8823,t8822,n8823,2,0.37050802497588176
8824,t8823,n8824,2,0.7332413533849631
8825,t8824,n8825,2,0.5229778572172017
8826,t8825,n8826,2,0.0060984165276792845
8827,t8826,n8827,2,0.21026333884052373
8828,t8827,n8828,2,0.8629217700996202
8829,t8828,n8829,3,0.7074715626129366
8830,t8829,n8830,2,0.5980511218127408
8831,t8830,n8831,2,0.6923403431513875
8832,t8831,n8832,2,0.009011073152922933
8833,t8832,n8833,2,0.007632347888719471
8834,t8833,n8834,2,0.6873523670730664
8835,t8834,n8835,2,0.372490665420662
8836,t8835,n8836,2,0.09421600439595579
8837,t8836,n8837,2,0.8468028495273748
8838,t8837,n8838,2,0.059076145991637685
8839,t8838,n8839,3,0.9958358924126037
8840,t8839,n8840,2,0.6151545183584134
8841,t8840,n8841,2,0.0738562962319228
8842,t8841,n8842,2,0.9345400293577042
8843,t8842,n8843,2,0.16677081605295108
8844,t8843,n8844,2,0.3871883497473836
